,Standard Industrial Classification (Revised 2007)   Section,Description,Year,Employment Sizeband 2,Number of enterprises,Total turnover,Approximate gross value added at basic prices (aGVA),"Total purchases  of goods, materials and services",Total employment costs,Total net capital expenditure 4,Total capital expenditure- acquisitions 4,Total capital expenditure - disposals 4,Total stocks and work in progress - value at end of year,Total stocks and work in progress - value at beginning of year,Total stocks and work in progress - increase during the year
0,Standard Industrial Classification (Revised 2007)   Section,Description,nan,nan,Number,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million
820,P (Part) 3,Education ,2018.0,Total,40351,47160,24985,22495,35807,8045,8553,508,334,301,33
821,P (Part) 3,Education ,2019.0,1 to 9,32361,3891,2559,1349,1024,145,174,29,56,37,19
822,P (Part) 3,Education ,2019.0,10 to 49,6040,4511,2699,1863,2122,279,319,40,45,35,11
823,P (Part) 3,Education ,2019.0,50 to 249,1532,7373,4610,2846,5126,1022,1156,134,19,12,7
824,P (Part) 3,Education ,2019.0,250 and over,669,32565,16505,16232,31370,6502,6980,478,243,264,-21
825,P (Part) 3,Education ,2019.0,Total,40602,48340,26372,22290,39643,7948,8629,681,363,348,15
826,Q (Part) 3,Human health and social work activities ,2009.0,1 to 9,33540,3296,2060,1254,1732,162,190,28,15,14,1
827,Q (Part) 3,Human health and social work activities ,2009.0,10 to 49,15053,9099,5900,3129,4604,558,599,40,50,45,5
828,Q (Part) 3,Human health and social work activities ,2009.0,50 to 249,3462,8929,5889,3059,4887,760,870,109,51,45,6
829,Q (Part) 3,Human health and social work activities ,2009.0,250 and over,546,16180,10249,5913,10272,1738,2059,320,221,280,-60
830,Q (Part) 3,Human health and social work activities ,2009.0,Total,52601,37504,24098,13356,21496,3219,3717,497,337,384,-47
831,Q (Part) 3,Human health and social work activities ,2010.0,1 to 9,35975,3863,1899,1905,1817,278,325,47,37,40,-3
832,Q (Part) 3,Human health and social work activities ,2010.0,10 to 49,15509,8222,4958,3357,5207,339,389,50,28,13,15
833,Q (Part) 3,Human health and social work activities ,2010.0,50 to 249,3691,9655,6019,3599,5963,785,874,89,93,102,-10
834,Q (Part) 3,Human health and social work activities ,2010.0,250 and over,593,17803,11401,6326,11100,1481,1755,273,196,304,-107
835,Q (Part) 3,Human health and social work activities ,2010.0,Total,55768,39544,24278,15186,24087,2882,3343,460,354,459,-105
836,Q (Part) 3,Human health and social work activities ,2011.0,1 to 9,38095,2976,1389,1587,1688,117,148,31,14,8,6
837,Q (Part) 3,Human health and social work activities ,2011.0,10 to 49,15856,8962,5755,3214,5200,311,372,61,23,23,6
838,Q (Part) 3,Human health and social work activities ,2011.0,50 to 249,3894,9589,6338,3263,6011,924,1076,152,24,19,4
839,Q (Part) 3,Human health and social work activities ,2011.0,250 and over,614,19672,11837,7843,11952,1233,1510,277,145,163,-18
840,Q (Part) 3,Human health and social work activities ,2011.0,Total,58459,41198,25319,15907,24851,2585,3106,521,205,213,-8
841,Q (Part) 3,Human health and social work activities ,2012.0,1 to 9,38370,3046,1637,1388,1480,104,125,21,8,10,-2
842,Q (Part) 3,Human health and social work activities ,2012.0,10 to 49,16869,9119,6022,3062,5426,623,646,23,105,112,-7
843,Q (Part) 3,Human health and social work activities ,2012.0,50 to 249,4234,9029,5855,3189,5551,503,543,40,17,14,3
844,Q (Part) 3,Human health and social work activities ,2012.0,250 and over,659,21254,12602,8732,12761,1377,1683,306,179,138,41
845,Q (Part) 3,Human health and social work activities ,2012.0,Total,60132,42447,26117,16372,25218,2607,2997,389,308,274,34
846,Q (Part) 3,Human health and social work activities ,2013.0,1 to 9,41283,4140,2309,1821,1847,209,240,32,10,10,34
847,Q (Part) 3,Human health and social work activities ,2013.0,10 to 49,17378,9077,5699,3390,5594,463,521,58,11,15,-4
848,Q (Part) 3,Human health and social work activities ,2013.0,50 to 249,4393,10663,7101,3567,6514,797,874,77,32,26,7
849,Q (Part) 3,Human health and social work activities ,2013.0,250 and over,707,22506,13578,8931,13507,1257,1510,254,133,140,-7
850,Q (Part) 3,Human health and social work activities ,2013.0,Total,63761,46386,28688,17709,27462,2726,3146,421,186,190,-4
851,Q (Part) 3,Human health and social work activities ,2014.0,1 to 9,44243,3583,1847,1726,1872,309,334,25,39,39,-4
852,Q (Part) 3,Human health and social work activities ,2014.0,10 to 49,17876,9590,6222,3471,5697,965,1042,77,95,99,-4
853,Q (Part) 3,Human health and social work activities ,2014.0,50 to 249,4443,10690,6858,3882,7215,894,949,55,9,9,-4
854,Q (Part) 3,Human health and social work activities ,2014.0,250 and over,751,24075,14330,9867,14429,1712,1958,246,217,166,51
855,Q (Part) 3,Human health and social work activities ,2014.0,Total,67313,47937,29257,18946,29213,3880,4282,402,360,313,47
856,Q (Part) 3,Human health and social work activities ,2015.0,1 to 9,51647,4900,2363,2517,2085,272,370,98,61,76,-15
857,Q (Part) 3,Human health and social work activities ,2015.0,10 to 49,17712,9576,6752,2900,5501,821,932,111,110,99,11
858,Q (Part) 3,Human health and social work activities ,2015.0,50 to 249,4653,12032,8388,3646,7349,910,998,87,75,84,-8
859,Q (Part) 3,Human health and social work activities ,2015.0,250 and over,773,26001,15532,10628,15282,1639,1900,261,395,326,69
860,Q (Part) 3,Human health and social work activities ,2015.0,Total,74785,52509,33035,19691,30218,3643,4199,557,642,585,57
861,Q (Part) 3,Human health and social work activities ,2016.0,1 to 9,59025,3780,2300,1429,1942,242,270,28,42,41,1
862,Q (Part) 3,Human health and social work activities ,2016.0,10 to 49,17410,10019,6634,3348,5928,1028,1138,109,102,92,10
863,Q (Part) 3,Human health and social work activities ,2016.0,50 to 249,4669,11590,8004,3642,8088,885,1033,147,16,11,5
864,Q (Part) 3,Human health and social work activities ,2016.0,250 and over,807,28048,16528,11672,16208,2101,2394,293,451,369,82
865,Q (Part) 3,Human health and social work activities ,2016.0,Total,81911,53436,33466,20090,32167,4257,4834,577,611,513,99
866,Q (Part) 3,Human health and social work activities ,2017.0,1 to 9,51828,4133,2243,1977,1937,299,335,36,*,*,*
867,Q (Part) 3,Human health and social work activities ,2017.0,10 to 49,17363,11675,7026,4689,5880,836,929,93,*,*,*
868,Q (Part) 3,Human health and social work activities ,2017.0,50 to 249,4637,13745,9549,4275,8402,976,1129,153,14,12,2
869,Q (Part) 3,Human health and social work activities ,2017.0,250 and over,806,29638,18279,11438,17300,1699,2092,394,412,398,13
870,Q (Part) 3,Human health and social work activities ,2017.0,Total,74634,59191,37097,22379,33519,3809,4485,675,493,464,30
871,Q (Part) 3,Human health and social work activities ,2018.0,1 to 9,46727,4178,2292,1921,1598,380,405,26,61,67,-6
872,Q (Part) 3,Human health and social work activities ,2018.0,10 to 49,17055,10992,7037,3968,6112,833,891,57,11,11,-6
873,Q (Part) 3,Human health and social work activities ,2018.0,50 to 249,4633,13268,8620,4686,8732,748,1367,619,68,53,15
874,Q (Part) 3,Human health and social work activities ,2018.0,250 and over,829,31195,19324,12066,18406,1501,1879,379,504,351,154
875,Q (Part) 3,Human health and social work activities ,2018.0,Total,69244,59634,37272,22641,34848,3462,4543,1081,645,482,163
876,Q (Part) 3,Human health and social work activities ,2019.0,1 to 9,46876,4376,2618,1733,1794,407,436,29,20,15,5
877,Q (Part) 3,Human health and social work activities ,2019.0,10 to 49,16909,10925,7229,3797,6076,693,819,126,11,10,1
878,Q (Part) 3,Human health and social work activities ,2019.0,50 to 249,4594,13623,8823,4859,8708,1122,1230,108,19,20,-2
879,Q (Part) 3,Human health and social work activities ,2019.0,250 and over,858,32376,19915,12699,19804,1495,1754,259,700,545,154
880,Q (Part) 3,Human health and social work activities ,2019.0,Total,69237,61300,38585,23089,36382,3717,4239,523,749,591,158
881,R ,"Arts, entertainment and recreation ",2009.0,1 to 9,50017,7161,3897,3321,1255,310,325,15,63,68,-6
882,R ,"Arts, entertainment and recreation ",2009.0,10 to 49,5116,4567,2156,2474,1327,241,268,27,18,24,-6
883,R ,"Arts, entertainment and recreation ",2009.0,50 to 249,972,6473,2841,3627,1756,371,405,34,29,30,-2
884,R ,"Arts, entertainment and recreation ",2009.0,250 and over,288,70475,7856,59997,5596,817,991,174,87,104,-17
885,R ,"Arts, entertainment and recreation ",2009.0,Total,56393,88677,16750,69419,9934,1739,1989,250,196,227,-30
886,R ,"Arts, entertainment and recreation ",2010.0,1 to 9,49466,6871,3115,3746,1163,266,309,43,55,45,10
887,R ,"Arts, entertainment and recreation ",2010.0,10 to 49,5108,4537,1878,2666,1501,177,231,54,21,16,4
888,R ,"Arts, entertainment and recreation ",2010.0,50 to 249,998,6037,2226,3801,1572,485,569,85,17,17,4
889,R ,"Arts, entertainment and recreation ",2010.0,250 and over,292,73159,7082,63282,5884,916,1045,129,88,95,-7
890,R ,"Arts, entertainment and recreation ",2010.0,Total,55864,90604,14300,73495,10120,1844,2155,311,181,173,8
891,R ,"Arts, entertainment and recreation ",2011.0,1 to 9,50433,7202,3794,3389,1317,204,315,111,72,85,-13
892,R ,"Arts, entertainment and recreation ",2011.0,10 to 49,5250,4775,2229,2574,1411,231,297,66,22,18,5
893,R ,"Arts, entertainment and recreation ",2011.0,50 to 249,1057,6240,2245,3966,1555,327,396,69,15,11,4
894,R ,"Arts, entertainment and recreation ",2011.0,250 and over,295,80745,8287,69525,6345,1009,1123,114,134,93,41
895,R ,"Arts, entertainment and recreation ",2011.0,Total,57035,98962,16554,79454,10629,1770,2131,361,243,206,37
896,R ,"Arts, entertainment and recreation ",2012.0,1 to 9,50280,7383,3698,3844,1291,279,333,54,105,102,2
897,R ,"Arts, entertainment and recreation ",2012.0,10 to 49,5711,5423,2409,3127,1545,296,347,51,67,62,5
898,R ,"Arts, entertainment and recreation ",2012.0,50 to 249,1041,6866,2271,4411,1561,324,359,34,75,87,-11
899,R ,"Arts, entertainment and recreation ",2012.0,250 and over,312,91341,8141,81680,6846,1048,1169,120,212,238,-27
900,R ,"Arts, entertainment and recreation ",2012.0,Total,57344,111013,16520,93062,11243,1948,2207,259,459,489,-30
901,R ,"Arts, entertainment and recreation ",2013.0,1 to 9,50539,8235,4155,4142,1325,303,355,52,127,101,26
902,R ,"Arts, entertainment and recreation ",2013.0,10 to 49,6042,5834,2832,2997,1548,286,329,43,44,33,11
903,R ,"Arts, entertainment and recreation ",2013.0,50 to 249,1071,7640,3277,4438,1818,355,395,40,59,44,15
904,R ,"Arts, entertainment and recreation ",2013.0,250 and over,326,98110,11766,84533,7125,1141,1316,174,180,217,-37
905,R ,"Arts, entertainment and recreation ",2013.0,Total,57978,119819,22030,96109,11816,2086,2394,309,411,395,15
906,R ,"Arts, entertainment and recreation ",2014.0,1 to 9,50758,8134,4196,3896,1312,699,778,79,48,90,-42
907,R ,"Arts, entertainment and recreation ",2014.0,10 to 49,6503,5651,2874,2790,1605,526,581,55,32,14,18
908,R ,"Arts, entertainment and recreation ",2014.0,50 to 249,1118,8411,3487,4918,1896,705,770,66,19,25,-6
909,R ,"Arts, entertainment and recreation ",2014.0,250 and over,337,95040,14729,78497,7323,1759,2150,392,215,203,11
910,R ,"Arts, entertainment and recreation ",2014.0,Total,58716,117236,25286,90101,12135,3688,4279,591,314,332,-19
911,R ,"Arts, entertainment and recreation ",2015.0,1 to 9,52132,8347,4520,4007,1355,645,731,86,270,180,90
912,R ,"Arts, entertainment and recreation ",2015.0,10 to 49,6687,5938,2952,3121,1681,742,802,61,136,97,38
913,R ,"Arts, entertainment and recreation ",2015.0,50 to 249,1181,8495,2686,5681,2536,444,641,197,126,111,15
914,R ,"Arts, entertainment and recreation ",2015.0,250 and over,343,85245,16218,65400,7263,1859,2435,576,224,204,20
915,R ,"Arts, entertainment and recreation ",2015.0,Total,60343,108024,26375,78209,12835,3690,4610,920,755,592,163
916,R ,"Arts, entertainment and recreation ",2016.0,1 to 9,54513,8836,4517,4433,1133,557,601,44,137,96,40
917,R ,"Arts, entertainment and recreation ",2016.0,10 to 49,6813,6313,3041,3237,2033,938,1006,68,86,98,-12
918,R ,"Arts, entertainment and recreation ",2016.0,50 to 249,1233,8892,2978,5905,2504,770,885,115,77,62,15
919,R ,"Arts, entertainment and recreation ",2016.0,250 and over,360,84989,11042,70339,8251,1913,2749,836,299,235,64
920,R ,"Arts, entertainment and recreation ",2016.0,Total,62919,109030,21578,83914,13921,4178,5240,1063,599,491,107
921,R ,"Arts, entertainment and recreation ",2017.0,1 to 9,57320,10376,4669,5750,1250,703,778,76,172,132,39
922,R ,"Arts, entertainment and recreation ",2017.0,10 to 49,7004,6699,2791,3926,2002,724,847,123,66,63,4
923,R ,"Arts, entertainment and recreation ",2017.0,50 to 249,1267,10352,3395,7003,2527,714,798,84,91,45,46
924,R ,"Arts, entertainment and recreation ",2017.0,250 and over,370,85615,12990,69238,9368,2628,3366,738,170,135,35
925,R ,"Arts, entertainment and recreation ",2017.0,Total,65961,113042,23846,85918,15148,4768,5789,1021,499,376,124
926,R ,"Arts, entertainment and recreation ",2018.0,1 to 9,58544,10553,5115,5409,1096,1047,1084,37,239,254,-15
927,R ,"Arts, entertainment and recreation ",2018.0,10 to 49,7185,6780,2903,3928,2004,743,782,39,105,91,13
928,R ,"Arts, entertainment and recreation ",2018.0,50 to 249,1250,10592,3631,6825,2675,808,939,131,150,290,-140
929,R ,"Arts, entertainment and recreation ",2018.0,250 and over,369,80573,13113,64265,9918,2919,4198,1278,181,170,10
930,R ,"Arts, entertainment and recreation ",2018.0,Total,67348,108498,24762,80427,15693,5517,7002,1485,674,806,-132
931,R ,"Arts, entertainment and recreation ",2019.0,1 to 9,59281,10027,4944,5029,1483,783,818,35,314,412,-98
932,R ,"Arts, entertainment and recreation ",2019.0,10 to 49,7146,7696,3336,4302,2023,802,863,62,157,132,25
933,R ,"Arts, entertainment and recreation ",2019.0,50 to 249,1301,11354,3175,8137,2585,798,829,32,127,142,-15
934,R ,"Arts, entertainment and recreation ",2019.0,250 and over,367,74010,14393,55873,10555,3199,4405,1207,175,177,-2
935,R ,"Arts, entertainment and recreation ",2019.0,Total,68095,103087,25848,73341,16646,5581,6916,1335,773,863,-90
936,S,Other service activities ,2009.0,1 to 9,86059,12942,6321,6633,3939,363,462,99,112,109,4
937,S,Other service activities ,2009.0,10 to 49,7557,6613,3215,3436,2171,233,289,56,58,51,7
938,S,Other service activities ,2009.0,50 to 249,697,3471,1428,2011,1412,106,139,34,13,14,-1
939,S,Other service activities ,2009.0,250 and over,112,5528,2570,2985,2734,263,349,86,18,16,2
940,S,Other service activities ,2009.0,Total,94425,28554,13534,15065,10256,964,1238,274,201,189,11
941,S,Other service activities ,2010.0,1 to 9,83541,12761,5955,6707,3130,408,561,152,159,108,51
942,S,Other service activities ,2010.0,10 to 49,7506,6707,3176,3668,2564,184,280,96,88,100,-12
943,S,Other service activities ,2010.0,50 to 249,669,3625,1461,2148,1348,128,160,31,13,15,-3
944,S,Other service activities ,2010.0,250 and over,123,6307,3085,3242,3064,294,410,115,27,28,-1
945,S,Other service activities ,2010.0,Total,91839,29400,13678,15765,10106,1014,1410,395,286,251,35
946,S,Other service activities ,2011.0,1 to 9,86684,12230,5755,6624,3132,521,629,108,104,91,13
947,S,Other service activities ,2011.0,10 to 49,7615,6026,2881,3226,2556,212,242,30,25,29,-4
948,S,Other service activities ,2011.0,50 to 249,691,3669,1264,2157,1632,149,172,23,14,13,1
949,S,Other service activities ,2011.0,250 and over,115,6230,2919,3296,3014,372,502,131,19,22,-4
950,S,Other service activities ,2011.0,Total,95105,28155,12819,15302,10334,1254,1546,292,162,155,7
951,S,Other service activities ,2012.0,1 to 9,79978,10695,5001,5801,3086,250,403,152,109,92,16
952,S,Other service activities ,2012.0,10 to 49,8454,7766,4182,3772,2651,238,326,88,50,49,1
953,S,Other service activities ,2012.0,50 to 249,705,4332,1822,2267,1608,190,243,53,164,168,-4
954,S,Other service activities ,2012.0,250 and over,116,6464,3125,3350,2972,251,369,118,22,23,-1
955,S,Other service activities ,2012.0,Total,89253,29258,14130,15190,10318,930,1341,411,345,333,12
956,S,Other service activities ,2013.0,1 to 9,79891,12243,6180,6186,3129,382,563,181,129,153,-24
957,S,Other service activities ,2013.0,10 to 49,8432,8340,4315,4206,2721,234,327,93,130,133,-2
958,S,Other service activities ,2013.0,50 to 249,700,3848,1343,2282,1599,99,182,83,50,65,-15
959,S,Other service activities ,2013.0,250 and over,122,6580,3311,3276,3053,234,343,108,46,49,-3
960,S,Other service activities ,2013.0,Total,89145,31011,15149,15950,10502,949,1415,466,355,399,-44
961,S,Other service activities ,2014.0,1 to 9,78978,11695,6899,4929,2971,880,1328,448,227,215,13
962,S,Other service activities ,2014.0,10 to 49,8634,8101,4489,3820,2572,618,878,260,93,62,31
963,S,Other service activities ,2014.0,50 to 249,750,3929,1634,2053,1497,270,333,63,41,28,13
964,S,Other service activities ,2014.0,250 and over,127,8455,3874,4718,3393,359,429,70,70,61,8
965,S,Other service activities ,2014.0,Total,88489,32179,16897,15520,10432,2127,2967,841,431,366,65
966,S,Other service activities ,2015.0,1 to 9,80528,11024,6797,4311,3140,738,880,142,186,161,25
967,S,Other service activities ,2015.0,10 to 49,8577,7710,4544,3176,2643,197,656,459,112,120,-8
968,S,Other service activities ,2015.0,50 to 249,780,4547,2199,2347,1959,169,231,62,31,48,-17
969,S,Other service activities ,2015.0,250 and over,123,8637,3911,4777,3569,416,503,87,75,75,-17
970,S,Other service activities ,2015.0,Total,90008,31919,17451,14611,11311,1520,2269,749,404,404,-17
971,S,Other service activities ,2016.0,1 to 9,95800,11438,7186,4265,2646,616,690,74,162,151,12
972,S,Other service activities ,2016.0,10 to 49,8573,7545,4220,3404,3009,845,914,70,132,132,12
973,S,Other service activities ,2016.0,50 to 249,774,4697,1995,2722,2246,301,464,163,71,63,8
974,S,Other service activities ,2016.0,250 and over,128,9586,4536,5125,4145,438,540,102,98,93,6
975,S,Other service activities ,2016.0,Total,105275,33267,17937,15516,12047,2200,2609,409,463,438,25
976,S,Other service activities ,2017.0,1 to 9,96154,11598,7270,4443,3228,793,929,137,187,138,50
977,S,Other service activities ,2017.0,10 to 49,8704,9111,5147,4089,3145,1133,1291,157,139,120,19
978,S,Other service activities ,2017.0,50 to 249,774,4738,1985,2799,2249,389,411,23,82,65,17
979,S,Other service activities ,2017.0,250 and over,130,10295,4726,5647,4181,492,576,84,135,128,6
980,S,Other service activities ,2017.0,Total,105762,35743,19128,16979,12804,2807,3207,400,543,451,92
981,S,Other service activities ,2018.0,1 to 9,97199,12026,6950,5230,3332,811,895,84,303,272,30
982,S,Other service activities ,2018.0,10 to 49,8530,8898,5405,3516,2945,728,818,90,79,84,-5
983,S,Other service activities ,2018.0,50 to 249,796,4850,2037,2806,2431,99,342,243,77,86,-9
984,S,Other service activities ,2018.0,250 and over,131,9891,3982,5948,3903,550,585,35,136,135,1
985,S,Other service activities ,2018.0,Total,106656,35665,18373,17500,12611,2188,2640,452,595,577,18
986,S,Other service activities ,2019.0,1 to 9,94970,12218,6897,5384,3507,623,665,42,254,260,-6
987,S,Other service activities ,2019.0,10 to 49,8365,9176,5613,3585,3115,844,902,59,160,148,12
988,S,Other service activities ,2019.0,50 to 249,786,4715,2058,2678,2450,370,595,225,47,45,2
989,S,Other service activities ,2019.0,250 and over,137,9764,3658,6170,4157,684,730,46,138,146,-8
990,S,Other service activities ,2019.0,Total,104258,35873,18226,17818,13230,2520,2892,372,598,599,-8
